"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x23","x24","x25","x26","x27","x28","x29","x30"
0.0562,0.9954,-0.2144,0.0982000000000001,0.1436,-0.0217999999999999,-0.00819999999999999,-0.9324,0.702,0.8276,0.8944,0.9414,0.9504,0.9106,-0.9644,-0.0556,0.8016,0.9954,-0.9514,-0.8942,-0.9362,0.9708,-0.979,0.9724,0.6668,-0.168,0.0476000000000001,0.0224,-0.9976,-0.997
0.1182,-0.837,-0.943,0.9582,0.7336,-0.9892,0.933,0.0326,0.0756000000000001,0.9206,0.9818,0.9246,0.9366,0.8992,-0.8976,-0.8662,0.783,-0.7874,0.0326,-0.9968,0.9524,-0.0579999999999999,0.7318,0.153,0.0398000000000001,0.00740000000000007,-0.1058,0.0165999999999999,0.9092,-0.9514
0.0842000000000001,0.0278,0.9338,0.9736,-0.0728,0.8392,0.9634,-0.0938,-0.9628,0.0396000000000001,0.9906,-0.9156,0.9802,-0.9772,-0.0164,0.7488,-0.1088,-0.9258,0.0638000000000001,-0.6148,0.8992,0.0228000000000002,-0.000199999999999978,-0.9704,-0.8686,0.1024,0.9966,-0.1114,-0.9028,0.8566
0.0766,-0.9786,-0.0599999999999999,-0.9072,0.0918000000000001,0.7666,0.8206,0.9324,-0.993,-0.8652,0.0470000000000002,0.0184,-0.888,-0.9452,0.8984,-0.0559999999999999,0.8232,0.9754,-0.867,-0.9786,0.8272,0.0696000000000001,0.7874,0.9568,0.9888,-0.968,0.78,-0.0736,-0.9894,-0.1398
-0.005,-0.891,-0.9192,-0.8666,-0.9506,-0.00439999999999996,0.0822000000000001,-0.9794,-0.8878,0.898,-0.0112,-0.9962,0.1158,-0.9644,-0.918,0.958,-0.1004,0.9756,-0.0841999999999999,-0.7934,-0.937,-0.0406,-0.858,-0.9818,0.937,-0.8608,-0.7762,0.0102,-0.7834,-0.9904
0.026,0.7066,0.8418,0.9342,0.8838,0.8588,-0.9316,-0.8122,0.9946,-0.8222,0.0522,0.9084,0.915,-0.9988,0.9094,-0.9392,0.9248,-0.0778,-0.1046,0.0270000000000001,-0.871,-0.8356,0.827,-0.7568,-0.7768,-0.9364,-0.0801999999999999,0.121,-0.9566,-0.0885999999999999
0.7976,0.077,0.8818,0.7238,0.5962,0.1496,0.9964,-0.928,-0.867,0.0784,-0.8838,0.8474,0.014,0.9056,0.0998000000000001,-0.004,0.7922,-0.8644,0.0366,-0.0768,-0.8692,-0.0424,-0.8458,0.9422,0.9222,-0.9074,0.9976,0.9994,-0.0935999999999999,0.8836
-0.8626,0.9972,-0.8624,-0.0581999999999999,0.0282,-0.917,0.88,-0.6428,-0.894,0.0362,0.6536,-0.9608,0.00439999999999996,-0.8014,0.7956,0.0888,-0.747,-0.787,-0.6478,0.8216,0.6498,0.0404,-0.9842,-0.0571999999999999,-0.8054,0.915,0.044,-0.0663999999999999,0.8612,0.998
0.4142,0.8762,0.815,-0.8544,0.7866,0.1182,0.829,-0.0159999999999999,0.0436000000000001,-0.0661999999999999,0.0276000000000001,0.6138,-0.9344,0.988,0.8738,0.8392,-0.9956,-0.9298,0.7836,0.8196,0.0856000000000001,0.86,-0.885,0.7634,-0.9332,0.01,-0.8946,-0.5372,-0.6382,0.0252000000000001
0.7216,0.116,0.8462,0.0942000000000001,0.9406,0.0122,0.056,-0.0778,-0.861,0.8948,0.9226,0.0886,0.858,-0.0611999999999999,0.929,0.9242,-0.0653999999999999,0.9284,0.1086,-0.0175999999999999,-0.0407999999999999,-0.9812,-0.0698,0.7518,-0.0339999999999999,0.9996,-0.9984,0.0224,0.996,-0.0454
-0.0905999999999999,0.0370000000000001,-0.8934,-0.8774,0.8384,0.8334,0.1526,-0.9032,0.9006,-0.0286,0.9958,-0.0466,-0.0823999999999999,-0.8562,0.0696000000000001,-0.9746,0.9766,-0.1434,0.0314000000000001,-0.9334,0.1322,-0.0559999999999999,0.946,-0.074,-0.928,0.9894,0.9324,0.9556,-0.971,0.9612
