"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x23","x24","x25","x26","x27","x28","x29","x30"
-0.9164,0.839,0.0450000000000002,-0.87,0.9346,-0.9802,0.8136,0.0292000000000001,0.9234,0.0168000000000001,-0.9372,0.1168,-0.8482,-0.1658,0.0782,0.0264,0.9264,0.7908,-0.0207999999999999,0.934,0.9152,0.9582,-0.8042,-0.00959999999999994,0.0450000000000002,-0.9206,0.704,0.739,0.9872,0.0376000000000001
0.00340000000000007,-0.8716,0.1612,0.9816,0.1106,0.1928,0.867,-0.9772,-0.0144,-0.965,0.081,-0.83,0.9764,-0.0998,0.9974,-0.4722,-0.7696,-0.0172,-0.0541999999999999,0.0310000000000001,-0.9878,-0.0823999999999999,0.0738000000000001,-0.0416,-0.0154,0.0307999999999999,0.8614,-0.8194,0.7786,0.947
-0.9784,-0.9012,-0.7886,0.9504,0.548,-0.0679999999999999,0.101,0.0364,-0.8864,0.0718000000000001,0.0672000000000001,-0.1222,0.9546,0.9962,-0.103,0.8544,-0.9828,0.1292,0.0604,-0.0154,-0.0179999999999999,-0.0209999999999999,0.9162,-0.0548,0.9298,-0.9282,0.8864,0.9796,0.113,-0.7116
0.9564,0.0125999999999999,0.7518,0.0118,-0.0344,0.0092000000000001,-0.8966,0.9028,-0.8944,0.7454,0.0242,0.8402,0.03,0.92,0.8746,-0.9976,-0.9366,0.8802,0.136,0.77,0.0568,0.081,-0.083,-0.000399999999999956,0.1396,-0.9878,-0.8872,-0.0584,-0.9418,-0.0214
-0.0494,-0.9384,-0.002,0.0786,-0.0938,-0.692,-0.9618,0.9982,0.0620000000000001,-0.99,-0.9994,0.0174000000000001,0.9204,0.0254000000000001,0.018,0.8996,0.0598000000000001,0.0454000000000001,-0.0389999999999999,-0.1026,0.0620000000000001,0.8304,0.0568,-0.9566,-0.836,0.0414000000000001,0.0871999999999999,0.8372,-0.9884,0.9544
0.8778,-0.919,0.8174,0.1686,-0.6434,0.9442,-0.9306,0.000600000000000156,-0.9294,-0.0175999999999999,0.9032,0.9856,-0.0588,-0.0187999999999999,0.9842,0.902,-0.9836,-0.9124,-0.1262,-0.899,0.8784,0.00839999999999996,-0.8866,-0.9644,-0.931,-0.9436,0.8882,0.992,0.9064,0.9054
0.9306,-0.9222,0.9322,-0.9658,-0.926,0.0592000000000001,0.0666,0.94,-0.9972,-0.9794,-0.8684,-0.9066,0.201,-0.0481999999999999,0.0122,-0.9994,-0.0821999999999999,-0.074,0.9526,-0.9842,-0.555,0.0672000000000001,0.9992,-0.9798,-0.0743999999999999,-0.9562,0.9256,0.9604,-0.8228,-0.8444
-0.9222,-0.935,-0.0257999999999999,-0.000399999999999956,-0.0614,0.1022,-0.9628,0.0574000000000001,0.3774,-0.8968,0.9354,-0.0389999999999999,0.0486,0.9084,-0.0234,-0.8856,0.0788,-0.9596,0.04,-0.892,0.8304,0.00140000000000007,0.8658,0.9756,0.9048,0.0176000000000001,-0.7992,-0.9536,0.0350000000000001,-0.133
0.9738,-0.8512,0.0286,0.8344,0.973,0.0558000000000001,0.6916,0.0580000000000001,-0.0334,-0.8262,0.995,0.9956,0.7536,-0.918,0.0188000000000001,0.8822,-0.986,0.9162,0.8986,0.9602,-0.0461999999999999,-0.951,0.7792,0.8054,-0.9144,0.1178,0.1094,0.9942,0.0238,-0.9364
0.993,0.1126,0.9512,-0.9884,0.0686,0.9892,0.0578000000000001,-0.9564,-0.7562,0.9538,-0.8978,0.8272,-0.8772,-0.1244,0.01,-0.00979999999999992,-0.9922,0.4694,0.0378000000000001,-0.9792,-0.1084,-0.9622,0.9768,0.922,0.8244,0.0384,0.032,-0.9736,0.7766,0.9078
