"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x23","x24","x25","x26","x27","x28","x29","x30","Y"
-0.895,0.8122,0.985,0.9466,0.9462,-0.981,-0.8398,0.8934,-0.8996,0.953,0.7504,-0.9916,-0.9192,-0.8654,0.7718,-0.8862,-0.8384,0.8356,0.9674,0.8426,-0.9592,0.9696,0.842,0.9002,0.8272,0.8996,-0.8526,-0.8062,-0.9758,-0.8846,-17.7463962337509
-0.8202,0.9864,-0.9046,-0.9856,-0.8616,0.9794,-0.8786,-0.943,-0.9442,-0.8658,0.9674,-0.9928,0.7852,0.8462,-0.839,-0.9854,0.9068,0.9632,0.9426,0.9642,-0.9172,0.6364,-0.9262,0.8424,0.63,-0.9832,-0.951,-0.92,-0.9456,0.9772,12.0515446593421
0.9408,-0.8962,-0.751,-0.7508,-0.9542,-0.9878,0.8766,0.9514,0.9792,0.6816,-0.778,-0.9862,0.7696,0.9042,-0.9772,-0.969,0.6252,0.8206,0.8868,0.8576,-0.651,-0.9544,0.8028,0.6688,-0.9392,0.9222,0.9874,0.8878,-0.968,-0.9806,58.9334968110966
-0.9172,-0.996,0.976,-0.9942,-0.8744,0.9508,-0.8632,-0.9928,0.9702,-0.8156,-0.6626,0.98,0.857,-0.9924,0.81,-0.9262,0.9556,-0.8872,0.9994,-0.9716,-0.763,-0.9956,0.6898,0.9794,-0.867,0.9874,-0.715,0.906,-0.998,0.8142,14.5448234747916
0.751,-0.7594,-0.6612,-0.9494,0.8132,-0.9714,-0.9664,0.9438,-0.838,-0.8934,-0.7256,-0.7828,-0.9302,0.9508,0.8614,-0.8028,0.8766,0.9112,-0.5494,0.9354,0.6974,-0.95,-0.6702,0.9982,0.7638,0.8596,0.961,0.8882,0.9424,0.5968,28.4114510952244
-0.824,0.8478,-0.9532,-0.9582,0.6624,0.985,-0.9816,-0.78,0.8422,0.9606,-0.9842,0.9744,-0.659,-0.9364,-0.991,-0.8418,0.9556,0.6824,0.9082,-0.9642,0.9318,-0.9984,-0.9288,-0.8868,0.8728,0.9974,0.8116,-0.8232,-0.979,0.604,29.3360803706456
-0.8602,-0.8684,0.9902,-0.8678,0.9466,-0.9852,0.9722,0.9822,-0.7272,0.6482,-0.7692,0.9576,0.7572,0.9572,-0.9774,0.7212,0.8656,0.6988,-0.9718,-0.9174,-0.9148,-0.8392,0.9784,-0.9546,-0.7936,-0.8788,-0.8348,0.8068,-0.9898,-0.7262,22.1613037701622
-0.6992,-0.9748,-0.9186,0.9636,0.9384,-0.7912,0.9836,0.899,-0.5844,0.9912,0.9542,0.9974,-0.8924,-0.9484,0.9446,-0.9866,0.7014,-0.892,0.7876,0.9896,0.8948,-0.9278,0.6192,0.8576,-0.8392,-0.8372,0.9968,0.9746,-0.8382,-0.9806,-31.6253676223204
0.7182,-0.9776,0.7744,0.871,-0.8556,0.8978,0.9754,0.9712,-0.9916,-0.9962,0.8182,0.8282,-0.7376,-0.7916,0.7418,0.9868,0.8846,0.8712,-0.7612,0.9984,0.9954,0.9392,-0.9012,0.9364,-0.919,-0.828,-0.9222,-0.9932,-0.749,0.8572,-32.1401454147106
0.7362,-0.9554,-0.9278,0.9692,0.6786,0.8886,-0.962,-0.933,-0.8496,0.9326,-0.9488,-0.7334,0.8534,0.9924,-0.9214,-0.828,0.9468,-0.9104,-0.9746,0.9248,-0.5438,-0.7298,-0.9194,-0.933,-0.9968,-0.6914,-0.9012,-0.8232,-0.8474,-0.8858,24.1373204275734
-0.9246,0.7834,-0.9112,0.7532,-0.997,-0.9862,-0.992,-0.9974,-0.9714,-0.9668,-0.8404,-0.876,0.9698,0.9686,0.8678,0.7674,0.9654,-0.9262,-0.9518,-0.9668,0.9966,0.8032,0.976,0.9728,-0.6376,0.9258,0.7598,0.968,-0.9384,0.9288,-27.111408933168
-0.9808,-0.9502,0.447,0.8078,-0.7114,-0.9286,-0.7734,0.7378,0.9712,-0.9598,0.8648,0.6898,-0.805,-0.7652,0.9984,0.9646,-0.8604,0.9694,-0.8858,0.9816,-0.805,-0.942,-0.9274,-0.982,0.9478,-0.8362,0.9726,0.8468,-0.9768,-0.7062,-4.38584316762247
0.9492,-0.8752,0.8674,0.8368,0.752,-0.9456,-0.8968,0.9458,-0.9304,0.8372,0.522,-0.8116,0.8042,0.8146,-0.8278,0.6364,-0.8868,0.9444,0.9034,-0.9264,0.9542,-0.8338,-0.805,-0.5864,-0.915,0.796,0.6736,0.573,-0.9676,0.9784,39.82652665224
0.8322,-0.9384,-0.942,0.781,-0.7284,-0.985,-0.8968,0.983,-0.8938,0.952,0.6176,0.9206,-0.9778,-0.9602,-0.891,0.664,0.8484,0.9316,0.9378,-0.7092,-0.9912,-0.775,0.9762,-0.7852,-0.7504,-0.9884,0.9386,-0.9726,0.9262,-0.9992,-43.8201951618714
-0.8548,-0.9706,-0.9978,-0.925,0.9962,-0.8646,0.8502,0.8822,-0.7378,0.8946,-0.87,0.7638,0.934,0.653,0.8642,0.9486,-0.9592,-0.8666,0.9312,-0.9768,-0.8234,0.9668,-0.7516,-0.9804,0.889,0.992,0.7954,-0.9792,-0.8782,-0.8044,29.7505595381223
-0.9716,-0.879,-0.6996,-0.5678,-0.9524,0.9552,-0.91,0.996,-0.78,-0.427,0.9364,0.9934,-0.7198,0.9834,0.9264,-0.9906,0.9322,0.8982,0.9116,-0.8886,-0.8692,-0.982,-0.972,-0.8078,0.941,0.9076,-0.9086,0.6894,0.997,-0.919,-54.4834983944944
0.9756,-0.8846,-0.8576,-0.988,0.9386,0.9232,-0.9796,-0.9648,0.9872,-0.9316,-0.949,0.7968,0.9982,-0.9644,0.872,-0.8522,-0.9296,0.988,0.9926,0.9658,0.9254,0.9698,0.8546,-0.9646,-0.8724,-0.8964,-0.9626,0.9382,-0.9894,-0.9236,-16.8230700513807
-0.9204,-0.8614,-0.8566,-0.9854,-0.9538,0.981,-0.7538,-0.8066,-0.753,0.8872,-0.9102,-0.9928,0.828,-0.9752,-0.9638,-0.844,-0.9612,0.9346,-0.916,0.8904,-0.9516,-0.8342,-0.7944,-0.89,-0.7972,0.9004,0.91,-0.7554,0.9742,-0.9616,46.9967671288456
0.9306,-0.9806,0.9724,-0.8464,-0.7692,-0.8982,-0.9926,-0.8748,-0.5966,0.8584,0.8728,0.8792,0.9682,0.9008,-0.7678,-0.9418,-0.9086,-0.7092,-0.913,0.8432,0.9526,1,-0.9872,0.9478,0.8244,0.9702,0.9814,0.762,0.91,-0.9942,43.3647524811915
-0.9412,-0.9878,-0.8182,-0.9728,0.9792,-0.9868,-0.6836,0.9484,-0.9196,-0.7958,0.8628,0.7032,0.9592,-0.9008,-0.7276,0.989,0.9202,0.996,-0.7854,0.8314,-0.8012,0.7956,0.9974,-0.9496,-0.9254,0.821,-0.7466,-0.947,0.8658,0.9682,-0.395766967091955
-0.9494,0.7362,-0.9534,-0.9346,-0.962,0.9086,-0.938,0.8868,0.8034,0.9552,0.9772,0.847,0.7812,0.9792,0.9126,0.8764,0.6184,-0.9888,0.9512,0.6286,-0.9564,-0.9764,-0.6286,-0.9566,-0.8878,-0.7856,-0.7284,-0.87,0.7768,0.9208,-22.5677706034093
0.8942,0.645,0.951,-0.9394,0.574,0.8356,-0.9496,0.8422,-0.9354,0.8148,-0.9708,-0.9776,-0.9484,-0.8944,0.9566,0.819,-0.934,0.9502,-0.9852,-0.9214,0.98,0.9022,0.8498,-0.981,-0.7404,-0.9148,0.83,0.9102,-0.7732,-0.6156,-38.7169619566753
-0.8342,-0.9748,0.8048,-0.9146,0.9086,0.9636,0.867,0.8086,-0.8986,0.9746,0.9772,-0.9974,-0.7064,0.973,0.8918,-0.9896,-0.7832,-0.9734,-0.9484,0.9512,-0.758,-0.9662,0.8806,0.9444,0.9378,0.932,0.9866,-0.891,0.6572,0.9986,62.1462630519842
0.9904,0.9104,-0.9872,0.8934,0.947,0.9596,0.9878,-0.9856,-0.8072,-0.847,0.983,0.9978,0.9958,0.8664,0.9214,0.9932,-0.899,0.9066,-0.7632,-0.9358,-0.8184,0.8894,0.5716,0.9262,-0.8998,-0.9078,-0.6532,0.9726,0.943,-0.9868,-75.5080591874419
-0.8916,0.9566,0.6712,0.884,0.9904,0.9734,-0.9214,-0.959,0.8548,0.8658,0.8612,-0.9408,-0.6784,0.9994,-0.9358,0.9878,-0.9292,0.7368,-0.988,-0.9338,0.977,0.9478,-0.9498,0.9104,-0.9972,0.8802,-0.8102,-0.9702,0.8666,-0.8724,-19.7769525761204
0.8816,0.9308,0.9492,0.8662,-0.5958,0.792,0.4416,0.8326,0.9296,0.7864,-0.671,0.988,0.9264,0.6808,0.694,-0.8924,0.986,0.9826,-0.9168,0.981,-0.6894,0.9924,-0.9736,0.8352,0.9584,0.9368,-0.8878,-0.8662,0.8828,0.9826,14.1956673537039
-0.93,0.9472,0.9696,0.6912,0.807,-0.7196,0.854,-0.8358,-0.9892,-0.9652,0.972,-0.9958,-0.72,-0.696,0.9172,0.6948,0.745,-0.5672,0.8742,0.9948,0.7848,-0.9226,0.974,-0.953,0.9114,0.9514,0.8972,0.9588,0.6726,-0.9324,-12.5943515863614
-0.933,-0.9296,0.9804,0.8996,0.921,-0.9114,0.7528,0.9036,0.8852,-0.8422,-0.8416,-0.9586,-0.8984,0.9938,0.9902,-0.9216,-0.9772,0.9422,-0.9384,0.9896,-0.8158,0.9818,-0.9144,0.9132,-0.9082,-0.8434,0.9614,-0.9002,0.9546,0.9332,19.114934259983
-0.9714,-0.9854,-0.9586,-0.9634,0.86,0.8804,-0.9132,0.9276,-0.907,0.9092,-0.8626,-0.9762,0.9748,-0.947,-0.9886,0.9554,0.8846,-0.9152,0.8294,-0.9166,0.9808,0.9132,-0.8828,0.9326,-0.8768,-0.9226,0.8414,0.9172,0.95,-0.9924,-16.118064274555
